slot,lost_eth_bid_estimate,lost_eth_nobid_neighborestimate,lost_eth_nobid_avgestimate,lost_eth_bad_recipient,max_bid,max_bid_relay,mev_reward,mev_reward_relay,proposer_index,is_rocketpool,node_address,in_smoothing_pool,correct_fee_recipient,priority_fees,avg_fee,eth_collat_ratio,is_vanilla,reth_portion,temp,proxy_max_bid
6516179,,,,0.07232682787352827,0.18784138946014658,Ultra Sound,,,433972.0,True,0x895F6558f0b02F95F48EF0d580eC885056dcCCC6,False,False,0.16343327016560064,0.15,2.0,True,0.425,,0.17112068953720175
6516535,0.004384815153916839,,,,0.038498487323522665,Blocknative,,,404308.0,True,0x42E36a7B30Aa8eA8bEC7B64170e40aeF20B00Bee,True,True,0.025134872895028512,0.1,2.0,True,0.45,,0.11901474956685064
6518560,0.022776553043598352,,,,0.07614141783519289,Ultra Sound,,,263356.0,True,0x92D6C2f25f5BF54824f3fFE27355cfF9a9C5C248,True,True,0.02831027858607033,0.104,2.6666666666666665,True,0.56,,0.09392728626759281
6518983,0.018970677742850137,,,,0.04646567817074566,Ultra Sound,,,449986.0,True,0x68d3081e20321c2386d038B688b045093f647e87,True,True,0.012685128388623288,0.14,4.0,True,0.645,,0.13149252642818327
6518995,,0.04606886592048432,0.042424114080985516,,,,,,395836.0,True,0x4CeCc37345ce702fA6285Ab9098dA34654Ee0471,True,True,0.005723259391490624,0.15,2.0,True,0.425,,0.1259635280110947
6519596,0.045288786728677324,,,,0.23064983876394554,Flashbots,,,411374.0,True,0x7C5d0950584F961f5c1054c88a71B01207Bf9CB7,False,True,0.10240257153063712,0.15,2.0,True,0.425,,0.3083318333793064
6519670,0.13041670541266517,,,,0.24920466081604467,Eden Network,,,516854.0,True,0x68d3081e20321c2386d038B688b045093f647e87,True,True,0.023578300503738166,0.14,4.0,True,0.645,,0.46289350124125894
6519788,0.011369800008913588,,,,0.06519375498504405,Ultra Sound,,,268347.0,True,0xCc00b35a6bb67C54B174058C809Ec838f360Dd88,False,True,0.03316740493174873,0.15902053728644783,2.0923076923076924,True,0.43904074891663386,,0.07581078393471795
6519823,0.006138031839711916,,,,0.03723423485153238,Ultra Sound,,,332600.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.018730208549804526,0.18712412365775533,2.013245033112583,True,0.4091118719748798,,0.09848509022712512
6520217,,0.04283731114586267,0.046459985211881175,,,,,,595859.0,True,0xB0a2Ef3c7680A265692252D212440C7326Ea1792,True,True,0.029824123034570143,0.141,3.5,True,0.6135714285714285,,0.10998071498818811
6520330,0.038032858124775526,,,,0.08572695032197637,Flashbots,,,263693.0,True,0x78a47e8041f0F34b52dDfD55ed0d4Fc8c0435995,True,True,0.018701335654961106,0.14,4.0,True,0.645,,0.08069096290891155
6520472,0.025026412746883324,,,,0.0787294287771898,Flashbots,,,314171.0,True,0x17Fa597cEc16Ab63A7ca00Fb351eb4B29Ffa6f46,False,True,0.010040189508112337,0.18330695558700144,2.0,True,0.40834652220649925,,0.10330560948538266
6520960,0.041769134725741563,,,,0.11611894562344656,Ultra Sound,,,445507.0,True,0x9cc778D26fCd8555Cb188a35Dca8cCF1634d76E9,False,True,0.037357835314842845,0.14093023255813952,3.5294117647058822,True,0.6156666666666667,,0.08549445000714692
6521259,,,,0.037945315885286754,0.06493506235486127,bloXroute Max Profit,,,584990.0,True,0xaCfAd9f0D80F74aD7E280A55eA025f4f09844B0F,True,False,0.053566328032976326,0.14,4.0,True,0.645,,0.08884630741641145
6521923,,,,0.015347263842302533,0.03985867276787766,Blocknative,,,433966.0,True,0x895F6558f0b02F95F48EF0d580eC885056dcCCC6,False,False,0.03826996923768133,0.15,2.0,True,0.425,,0.09944254903767391
6522460,0.004394761917822765,,,,0.038301658835494454,Flashbots,,,332612.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.023958382760076207,0.18712412365775533,2.013245033112583,True,0.4091118719748798,,0.04801860538455131
6523371,0.08316312598176247,,,,0.27529021857592617,Blocknative,,,299524.0,True,0x69c83a1C429f93a6c13D18B5807AD418Dce2647d,True,True,0.05206186071167752,0.1571841856809588,2.0,True,0.4214079071595206,,0.14336559741929908
6523574,,,,0.0362434425284749,0.09412853851785528,Flashbots,,,395791.0,True,0x663CbbD93B5eE095AC8386C2a301EB1C47D73aA9,False,False,0.0886522722574593,0.15,2.0,True,0.425,,0.1062385997592043
6523747,0.033332949075337355,,,,0.07458412475211021,Flashbots,,,494424.0,True,0xdBC41aEAeA480459386feeC0C575F7ca56e8FfF1,True,True,0.015892825631266937,0.14,4.0,True,0.645,,0.11816311388891876
6524287,0.3063423242891487,,,,0.5969718877757025,Flashbots,,,494417.0,True,0xdBC41aEAeA480459386feeC0C575F7ca56e8FfF1,True,True,0.06589598009155508,0.14,4.0,True,0.645,,0.24232813049142468
6524649,0.003479463988092816,,,,0.034716259688139,Ultra Sound,,,581777.0,True,0xA75107ad646A44adBD6C757c1a5bc3c1114648b1,False,True,0.025365753430695626,0.1425,3.0,True,0.5716666666666668,,0.09395294963914315
6524779,0.010039867425463915,,,,0.09560453645640157,Blocknative,,,263373.0,True,0x6b05d9E6c41d18365a8B1e471939baed533BF18a,True,True,0.06905346441062232,0.1425,3.0,True,0.5716666666666668,,0.24669704346647084
6525912,0.06308711559028697,,,,0.1866315024113864,Ultra Sound,,,267677.0,True,0xCc00b35a6bb67C54B174058C809Ec838f360Dd88,False,True,0.025391560773408223,0.15902053728644783,2.0923076923076924,True,0.43904074891663386,,0.22325699136570978
6526121,,0.07161794102412071,0.034095913759138216,,,,,,497950.0,True,0x02523F5c440f09ae533600CfC0999ce30df2a523,True,True,0.02531902485466074,0.15,2.0,True,0.425,,0.21394684864247007
6526876,0.034863894649815735,,,,0.09210442221636583,Ultra Sound,,,516837.0,True,0x68d3081e20321c2386d038B688b045093f647e87,True,True,0.02939232709838252,0.14,4.0,True,0.645,,0.09655401633143616
6528598,,0.004957316174724939,0.04491974752645344,,,,,,586277.0,True,0x2b6fCa9AD7EBd5408dB009f0DF087Ffd934cF98e,True,True,0.03590168486706908,0.14,4.0,True,0.645,,0.048110761398772926
6528674,0.00014173165839758564,,,,0.023176057241543993,bloXroute Max Profit,,,399506.0,True,0x663CbbD93B5eE095AC8386C2a301EB1C47D73aA9,False,True,0.020663586393672228,0.15,2.0,True,0.425,,0.07095848623602345
6528704,0.01493919515258529,,,,0.08372959250228855,Ultra Sound,,,312119.0,True,0x17Fa597cEc16Ab63A7ca00Fb351eb4B29Ffa6f46,False,True,0.03927283609824606,0.18330695558700144,2.0,True,0.40834652220649925,,0.12085585689378088
6528845,,,,0.023841409540077897,0.04314027378052743,Ultra Sound,,,583876.0,True,0x84CF8A46e6F77dBC6A33855320d68f7A1698C528,True,False,0.037757965599144176,0.146,3.5,True,0.61,,0.08636870522673469
6528963,,0.02812706364278245,0.03728572960234007,,,,,,498032.0,True,0xDBef206584d2b84b625c7d78067aE977f8EE1A29,True,True,0.01781357581183285,0.15,2.0,True,0.425,,0.09271152650732394
6529953,,,,0.016785019358551312,0.04359269514679919,Blocknative,,,431996.0,True,0x895F6558f0b02F95F48EF0d580eC885056dcCCC6,False,False,0.032641402524851634,0.15,2.0,True,0.425,,0.06371889488597696
6530185,-0.0011159731438180672,,,,0.05190128833055507,Blocknative,,,504695.0,True,0x22FFBA127F6741a619fa145516EF4D94B90f093A,False,True,0.049647411759894566,0.15,2.0,True,0.425,,0.045452966778068184
6530693,0.01587823415402704,,,,0.06212572295302356,Ultra Sound,,,502581.0,True,0xCc00b35a6bb67C54B174058C809Ec838f360Dd88,False,True,0.02011899704667622,0.15902053728644783,2.0923076923076924,True,0.43904074891663386,,0.05865810144399074
6530941,0.000874255867508967,,,,0.022653555831824605,Ultra Sound,,,399489.0,True,0x663CbbD93B5eE095AC8386C2a301EB1C47D73aA9,False,True,0.018466623553891243,0.15,2.0,True,0.425,,0.06137334421138011
6531502,0.01015157877349241,,,,0.035528518259525355,Flashbots,,,331350.0,True,0xC3400D3536a08f4Cd75a5d7120A92ec24d2AaF52,True,True,0.016449288550680653,0.14,4.0,True,0.645,,0.15431668790097183
6531744,0.060070199467126835,,,,0.19113491502791355,Flashbots,,,324760.0,True,0x17Fa597cEc16Ab63A7ca00Fb351eb4B29Ffa6f46,False,True,0.026058702627585487,0.18330695558700144,2.0,True,0.40834652220649925,,0.1076068406128821
6531985,,,,0.06575431904639983,0.11252405488696984,Flashbots,,,425525.0,True,0x8990D7555Fee1e164b8CB09A6fA51Aa616f32618,True,False,0.0890886644749109,0.14,4.0,True,0.645,,0.10288859374868974
6532086,-0.0028450175524894865,,,,0.062858246266842,Blocknative,,,603285.0,True,0xFaaDf0C804689Af0571f269eeA8073A196f891F7,False,True,0.06135927065910428,0.14,4.0,True,0.645,,0.06314923272063082
6532342,0.023697790052599494,,,,0.0523477664221933,Flashbots,,,485482.0,True,0xdBC41aEAeA480459386feeC0C575F7ca56e8FfF1,True,True,0.010685333593322938,0.14,4.0,True,0.645,,0.057194572039636585
6532378,0.004241552351405515,,,,0.030018509070796,Flashbots,,,309436.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.01682849770203717,0.18712412365775533,2.013245033112583,True,0.4091118719748798,,0.08726110714299362
6533260,0.02830993823417555,,,,0.09113640617782089,Ultra Sound,,,332836.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.013369347263669564,0.18712412365775533,2.013245033112583,True,0.4091118719748798,,0.060622685650473865
6533853,,,,0.04170016516810974,0.1083002973611986,Flashbots,,,432400.0,True,0x895F6558f0b02F95F48EF0d580eC885056dcCCC6,False,False,0.1082669145952711,0.15,2.0,True,0.425,,0.06529194088054067
6534412,,,,0.029516196522746216,0.07665707911463157,Flashbots,,,411369.0,True,0x7C5d0950584F961f5c1054c88a71B01207Bf9CB7,False,False,0.06839464125074503,0.15,2.0,True,0.425,,0.1392513657516066
6534700,-0.0017720934361883421,,,,0.05701339938279836,Flashbots,,,405807.0,True,0x7C5d0950584F961f5c1054c88a71B01207Bf9CB7,False,True,0.055822700827970265,0.15,2.0,True,0.425,,0.05943871671532964
6534964,0.009360622163267303,,,,0.033295099486331164,Ultra Sound,,,437935.0,True,0x3ca42cB29F26B214ae6Cfde4001012CdD2735c13,True,True,0.01066343872836604,0.14666666666666667,2.285714285714286,True,0.48,,0.22582059621973255
6534969,,,,0.01807287936780674,0.04693742103456674,bloXroute Max Profit,,,517449.0,True,0xD02e4cA21CcdD67fbB9dD0881414F20dB499cA11,False,False,0.033124267412952185,0.15,2.0,True,0.425,,0.26541393368828503
6535053,,,,0.06169347184936201,0.12159955571381531,Ultra Sound,,,598274.0,True,0x92D6C2f25f5BF54824f3fFE27355cfF9a9C5C248,True,False,0.11205293486162622,0.104,2.6666666666666665,True,0.56,,0.09353823310680283
6535055,,,,0.07260610171155436,0.1586947449090581,Blocknative,,,312971.0,True,0x9e43d1a488a2b3E0d5Bf8e0f4201b057f5Bb4391,False,False,0.1539256430195604,0.16823529411764707,2.5454545454545454,True,0.5050000000000001,,0.08861272429296899
